"","ensgene","name","module","mm"
"212","uc001bfu.2","uc001bfu.2","white",0.132749985185837
"213","uc001bfy.3","uc001bfy.3","red",0.869356105099934
"214","uc001bgc.4","uc001bgc.4","red",0.851019821914253
"215","uc001bgd.3","uc001bgd.3","red",0.836135558011522
"216","uc001bgf.3","uc001bgf.3","white",0.197261023902129
"217","uc001bgi.2","uc001bgi.2","brown",0.23595384346513
"218","uc001bgk.2","uc001bgk.2","lightyellow",0.248842372287596
"219","uc001bgr.4","uc001bgr.4","greenyellow",0.233329886200582
"220","uc001bgt.3","uc001bgt.3","skyblue",0.151175687945338
"221","uc001bgw.3","uc001bgw.3","grey60",0.18029928192875
"222","uc021oig.1","uc021oig.1","darkorange",0.142629459586268
"223","uc001bha.2","uc001bha.2","tan",0.31907571578077
"224","uc001bhd.4","uc001bhd.4","lightcyan",0.165937808069226
"225","uc001bhf.1","uc001bhf.1","skyblue",0.228452199731899
"226","uc001bhh.4","uc001bhh.4","red",0.524282951475537
"227","uc001bhk.3","uc001bhk.3","green",0.826080788853973
"228","uc001bho.3","uc001bho.3","skyblue3",0.178226049050191
"229","uc001bhq.3","uc001bhq.3","brown",0.463358782478085
"230","uc010oeb.2","uc010oeb.2","plum1",0.270554232221804
"231","uc001bht.3","uc001bht.3","lightcyan",0.191702906426339
"232","uc001bhz.1","uc001bhz.1","plum1",0.12645633656362
"233","uc001bic.3","uc001bic.3","orangered4",0.114664263226575
"234","uc001bie.3","uc001bie.3","skyblue3",0.380846668774186
"235","uc001big.3","uc001big.3","grey60",0.572642633771782
"236","uc021oim.1","uc021oim.1","yellowgreen",0.132157302821316
"237","uc001bij.2","uc001bij.2","darkgrey",0.135694841299704
"238","uc001bip.1","uc001bip.1","greenyellow",0.164290804709987
"239","uc010oei.1","uc010oei.1","darkorange",0.212690073812013
"240","uc001bja.3","uc001bja.3","yellowgreen",0.0746279569460231
"241","uc001bjh.3","uc001bjh.3","royalblue",0.424256961988842
"242","uc001bjk.2","uc001bjk.2","darkturquoise",0.118878220399087
"243","uc001bjm.3","uc001bjm.3","lightyellow",0.234087976295145
"244","uc001bjo.2","uc001bjo.2","tan",0.614007510705391
"245","uc001bjt.1","uc001bjt.1","darkturquoise",0.233795120375928
"246","uc001bjw.3","uc001bjw.3","purple",0.254830335324578
"247","uc001bkd.1","uc001bkd.1","salmon",0.147751325656436
"248","uc001bke.3","uc001bke.3","darkgrey",0.228071622882578
"249","uc001bkk.3","uc001bkk.3","purple",0.300469596372415
"250","uc001bkl.4","uc001bkl.4","lightgreen",0.267168563140754
"251","uc001bkm.2","uc001bkm.2","tan",0.230875081376983
"252","uc021ojk.1","uc021ojk.1","orangered4",0.173095494093478
"253","uc001bkq.4","uc001bkq.4","cyan",0.0903939533721037
"254","uc010oeu.1","uc010oeu.1","magenta",0.172243316103344
"255","uc001bkw.1","uc001bkw.1","lightcyan",0.116512154789296
"256","uc001bkx.3","uc001bkx.3","blue",0.174712275056323
"257","uc010oev.2","uc010oev.2","magenta",0.155741623841644
"258","uc001bla.3","uc001bla.3","darkgreen",0.505437316525147
"259","uc001blf.3","uc001blf.3","darkturquoise",0.374389049014542
"260","uc009vsb.3","uc009vsb.3","brown",0.106965890607176
"261","uc001bll.4","uc001bll.4","darkgrey",0.175897209465535
"262","uc001blq.3","uc001blq.3","skyblue",0.211792692134487
"263","uc001blr.3","uc001blr.3","lightyellow",0.196139125224905
"264","uc001blu.3","uc001blu.3","darkorange",0.304756395094923
"265","uc001bmj.3","uc001bmj.3","skyblue",0.142822387416438
"266","uc001bmk.3","uc001bmk.3","magenta",0.111084384077172
"267","uc001bmo.1","uc001bmo.1","lightyellow",0.109161426865933
"268","uc001bmp.4","uc001bmp.4","turquoise",0.387138398748405
"269","uc001bmu.1","uc001bmu.1","white",0.459742664923811
"270","uc001bmw.1","uc001bmw.1","lightyellow",0.206469657070686
"271","uc001bmx.1","uc001bmx.1","darkorange",0.100641627114192
"272","uc001bmz.3","uc001bmz.3","yellowgreen",0.173185665436173
"273","uc001bnb.3","uc001bnb.3","purple",0.290081800917529
"274","uc001bnd.1","uc001bnd.1","turquoise",0.153056113972955
"275","uc001bne.3","uc001bne.3","grey60",0.227962832772178
"276","uc001bng.2","uc001bng.2","darkgrey",0.558791687264042
"277","uc001bnj.4","uc001bnj.4","white",0.277815589139396
"278","uc001bnm.4","uc001bnm.4","tan",0.12717860655243
"279","uc001bnp.1","uc001bnp.1","lightgreen",0.247370244486046
"280","uc001bnr.4","uc001bnr.4","yellow",0.137143758557436
"281","uc021oju.1","uc021oju.1","darkturquoise",0.11647538815964
"282","uc001bof.2","uc001bof.2","lightyellow",0.238527609417511
"283","uc009vsy.3","uc009vsy.3","lightcyan",0.161152415101342
"284","uc001boo.1","uc001boo.1","yellowgreen",0.377580069325932
"285","uc001bou.4","uc001bou.4","grey60",0.438747423702505
"286","uc001bov.2","uc001bov.2","orangered4",0.250000039076729
"287","uc001boy.1","uc001boy.1","magenta",0.581494700202111
"288","uc001bpe.1","uc001bpe.1","darkorange",0.194255826714896
"289","uc001bph.1","uc001bph.1","orangered4",0.252123100354275
"290","uc001bpk.2","uc001bpk.2","greenyellow",0.147806053458293
